Date,Day,Name,Hours,Role,Rate,Total,Tips
7/29/2022,Fri,Kevin,7,Server,10,70,52.66666667
7/29/2022,Fri,John,9,Server,10,90,9
7/30/2022,Sat,Sally,9,Server,10,90,53
7/30/2022,Sat,Kevin,8,Server,10,80,18.66666667
7/31/2022,Sun,Alex,9,Server,10,90,38.66666667
7/31/2022,Sun,Alex,6,Server,10,60,41.66666667
8/1/2022,Mon,Alex,8,Server,10,80,26.66666667
8/1/2022,Mon,Sally,6,Server,10,60,40.66666667
8/2/2022,Tue,Amy,9,Server,10,90,48.66666667
8/2/2022,Tue,Alex,9,Server,10,90,10
8/3/2022,Wed,Sally,7,Server,10,70,37.66666667
8/3/2022,Wed,Sally,8,Server,10,80,52
8/4/2022,Thu,Alex,7,Server,10,70,1.333333333
8/4/2022,Thu,Sally,7,Server,10,70,59.66666667
8/5/2022,Fri,John,9,Server,10,90,50
8/5/2022,Fri,Sally,9,Server,10,90,62.66666667
8/6/2022,Sat,John,8,Server,10,80,51.66666667
8/6/2022,Sat,Alex,7,Server,10,70,4.666666667
8/7/2022,Sun,Kevin,7,Server,10,70,53
8/7/2022,Sun,Alex,8,Server,10,80,31.33333333
8/8/2022,Mon,Kevin,9,Server,10,90,34.33333333
8/8/2022,Mon,Kevin,9,Server,10,90,19.66666667
8/9/2022,Tue,Amy,8,Server,10,80,44.33333333
8/9/2022,Tue,Amy,6,Server,10,60,32.33333333
8/10/2022,Wed,Kevin,9,Server,10,90,57.66666667
8/10/2022,Wed,Sally,7,Server,10,70,64
8/11/2022,Thu,Sally,7,Server,10,70,38
8/11/2022,Thu,Kevin,8,Server,10,80,45.33333333
,,,,,,,
,,,,,,,
